Tm,Season,W,L,T,win_percent,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Playoffs
BUF,2024,13,4,0,0.765,525,368,157,9.2,-1.1,8.1,7.8,0.3,1
MIA,2024,8,9,0,0.471,345,364,-19,-1.1,-1.9,-3,-3.5,0.4,0
NYJ,2024,5,12,0,0.294,338,404,-66,-3.9,-0.5,-4.3,-3,-1.4,0
NE,2024,4,13,0,0.235,289,417,-128,-7.5,-0.6,-8.1,-6.2,-1.9,0
BAL,2024,12,5,0,0.706,518,361,157,9.2,0.6,9.9,8,1.9,1
PIT,2024,10,7,0,0.588,380,347,33,1.9,0.1,2.1,-0.7,2.8,1
CIN,2024,9,8,0,0.529,472,434,38,2.2,-0.8,1.4,5,-3.6,0
CLE,2024,3,14,0,0.176,258,435,-177,-10.4,1.2,-9.2,-7.1,-2.1,0
HOU,2024,10,7,0,0.588,372,372,0,0,-0.7,-0.7,-1.5,0.8,1
IND,2024,8,9,0,0.471,377,427,-50,-2.9,-0.7,-3.7,-0.5,-3.2,0
JAX,2024,4,13,0,0.235,320,435,-115,-6.8,-0.8,-7.5,-4.2,-3.4,0
TEN,2024,3,14,0,0.176,311,460,-149,-8.8,0.4,-8.4,-4.7,-3.7,0
KC,2024,15,2,0,0.882,385,326,59,3.5,0.7,4.2,-0.2,4.4,1
LAC,2024,11,6,0,0.647,402,301,101,5.9,-0.6,5.3,0.6,4.7,1
DEN,2024,10,7,0,0.588,425,311,114,6.7,-0.3,6.4,2.1,4.3,1
LV,2024,4,13,0,0.235,309,434,-125,-7.4,1,-6.4,-3.9,-2.5,0
PHI,2024,14,3,0,0.824,463,303,160,9.4,-1.7,7.7,3,4.7,1
WAS,2024,12,5,0,0.706,485,391,94,5.5,-1.8,3.7,4.9,-1.2,1
DAL,2024,7,10,0,0.412,350,468,-118,-6.9,0.6,-6.3,-2.6,-3.7,0
NYG,2024,3,14,0,0.176,273,415,-142,-8.4,0.3,-8,-7.5,-0.5,0
DET,2024,15,2,0,0.882,564,342,222,13.1,0.7,13.8,10.6,3.2,1
MIN,2024,14,3,0,0.824,432,332,100,5.9,0.3,6.2,2.8,3.4,1
GB,2024,11,6,0,0.647,460,338,122,7.2,0.9,8.1,4.9,3.2,1
CHI,2024,5,12,0,0.294,310,370,-60,-3.5,1.2,-2.3,-4.8,2.4,0
TB,2024,10,7,0,0.588,502,385,117,6.9,-0.4,6.4,6,0.4,1
ATL,2024,8,9,0,0.471,389,423,-34,-2,-0.2,-2.2,0,-2.2,0
CAR,2024,5,12,0,0.294,341,534,-193,-11.4,0.4,-11,-2.6,-8.4,0
NO,2024,5,12,0,0.294,338,398,-60,-3.5,-0.6,-4.1,-3.6,-0.5,0
LAR,2024,10,7,0,0.588,367,386,-19,-1.1,1.1,-0.1,-0.6,0.6,1
SEA,2024,10,7,0,0.588,375,368,7,0.4,0.8,1.3,-0.3,1.5,0
AZ,2024,8,9,0,0.471,400,379,21,1.2,0.9,2.1,0.8,1.2,0
SF,2024,6,11,0,0.353,389,436,-47,-2.8,1.6,-1.2,0.9,-2.1,0
BUF,2023,11,6,0,0.647,451,311,140,8.2,-1.8,6.5,4.1,2.3,1
MIA,2023,11,6,0,0.647,496,391,105,6.2,-1.8,4.4,7.6,-3.1,1
NYJ,2023,7,10,0,0.412,268,355,-87,-5.1,-0.6,-5.8,-6.7,0.9,0
NE,2023,4,13,0,0.235,236,366,-130,-7.6,-0.2,-7.9,-8.5,0.6,0
BAL,2023,13,4,0,0.765,483,280,203,11.9,1.2,13.2,6.7,6.5,1
CLE,2023,11,6,0,0.647,396,362,34,2,1.3,3.3,2.4,0.9,1
PIT,2023,10,7,0,0.588,304,324,-20,-1.2,1.9,0.7,-3,3.7,1
CIN,2023,9,8,0,0.529,366,384,-18,-1.1,2.8,1.7,1.3,0.4,0
HOU,2023,10,7,0,0.588,377,353,24,1.4,-1,0.4,0.3,0.1,1
JAX,2023,9,8,0,0.529,377,371,6,0.4,1.1,1.4,1.3,0.1,0
IND,2023,9,8,0,0.529,396,415,-19,-1.1,-0.2,-1.3,2.4,-3.8,0
TEN,2023,6,11,0,0.353,305,367,-62,-3.6,0.4,-3.2,-4,0.7,0
KC,2023,11,6,0,0.647,371,294,77,4.5,-0.8,3.7,-0.6,4.4,1
LV,2023,8,9,0,0.471,332,331,1,0.1,-0.9,-0.9,-2.4,1.6,0
DEN,2023,8,9,0,0.471,357,413,-56,-3.3,-0.5,-3.8,-0.8,-3,0
LAC,2023,5,12,0,0.294,346,398,-52,-3.1,0.9,-2.2,-0.6,-1.6,0
DAL,2023,12,5,0,0.706,509,315,194,11.4,-2.2,9.2,6.5,2.7,1
PHI,2023,11,6,0,0.647,433,428,5,0.3,-0.4,-0.1,3.6,-3.7,1
NYG,2023,6,11,0,0.353,266,407,-141,-8.3,0.4,-7.9,-6.9,-1,0
WAS,2023,4,13,0,0.235,329,518,-189,-11.1,0,-11.1,-2.8,-8.4,0
DET,2023,12,5,0,0.706,461,395,66,3.9,0.4,4.3,6,-1.8,1
GB,2023,9,8,0,0.529,383,350,33,1.9,-0.8,1.2,0.9,0.2,1
MIN,2023,7,10,0,0.412,344,362,-18,-1.1,0.5,-0.6,-1.6,1,0
CHI,2023,7,10,0,0.412,360,379,-19,-1.1,-0.9,-2,-1.2,-0.9,0
TB,2023,9,8,0,0.529,348,325,23,1.4,-0.3,1.1,-1.6,2.7,1
NO,2023,9,8,0,0.529,402,327,75,4.4,-2.2,2.2,1.7,0.5,0
ATL,2023,7,10,0,0.412,321,373,-52,-3.1,-1.9,-5,-3.6,-1.4,0
CAR,2023,2,15,0,0.118,236,416,-180,-10.6,0.7,-9.9,-7.9,-2,0
SF,2023,12,5,0,0.706,491,298,193,11.4,0.4,11.8,7.1,4.7,1
LAR,2023,10,7,0,0.588,404,377,27,1.6,1.4,3,2,1,1
SEA,2023,9,8,0,0.529,364,402,-38,-2.2,1.3,-1,-0.2,-0.8,0
ARI,2023,4,13,0,0.235,330,455,-125,-7.4,1.9,-5.4,-1.8,-3.7,0
BUF,2022,13,3,0,0.813,455,286,169,10.6,0.4,10.9,7.1,3.8,1
